,E1,E2,C1,C2,A1,A2,A3,OR
011302,53,75,97,0,128,128,125,0
011303,53,75,97,0,128,128,127,0
011305,53,75,97,0,128,128,125,0
011306,53,75,97,0,128,128,126,0
011307,53,75,97,0,128,128,128,0
011308,53,75,97,0,128,128,125,0
011309,53,75,97,0,128,128,125,0
011311,53,75,97,0,128,128,125,0
011312,53,75,97,0,128,128,125,0
021301,70,66,91,0,136,136,135,0
021303,70,66,91,0,136,136,137,0
021305,70,66,91,0,136,136,134,0
021306,70,66,91,0,136,136,132,0
021307,70,66,91,0,136,136,136,0
021308,70,66,91,0,136,136,133,0
021309,70,66,91,0,136,136,136,0
021311,70,66,91,0,136,136,133,0
021312,70,66,91,0,136,136,132,0
031301,60,65,77,0,125,125,126,0
031302,60,65,77,0,125,125,123,0
031305,60,65,77,0,125,125,126,0
031306,60,65,77,0,125,125,125,0
031307,60,65,77,0,125,125,124,0
031308,60,65,77,0,125,125,125,0
031309,60,65,77,0,125,125,128,0
031311,60,65,77,0,125,125,128,0
031312,60,65,77,0,125,125,126,0
051301,61,70,87,0,131,131,131,0
051302,61,70,87,0,131,131,128,0
051303,61,70,87,0,131,131,132,0
051306,61,70,87,0,131,131,130,0
051307,61,70,87,0,131,131,130,0
051308,61,70,87,0,131,131,129,0
051309,61,70,87,0,131,131,131,0
051311,61,70,87,0,131,131,130,0
051312,61,70,87,0,131,131,129,0
061301,80,53,100,0,133,133,132,0
061302,80,53,100,0,133,133,130,0
061303,80,53,100,0,133,133,132,0
061305,80,53,100,0,133,133,131,0
061307,80,53,100,0,133,133,131,0
061308,80,53,100,0,133,133,130,0
061309,80,53,100,0,133,133,131,0
061311,80,53,100,0,133,133,131,0
061312,80,53,100,0,133,133,131,0
071301,66,58,88,0,124,124,127,0
071302,66,58,88,0,124,124,124,0
071303,66,58,88,0,124,124,124,0
071305,66,58,88,0,124,124,124,0
071306,66,58,88,0,124,124,122,0
071308,66,58,88,0,124,124,120,0
071309,66,58,88,0,124,124,129,0
071311,66,58,88,0,124,124,128,0
071312,66,58,88,0,124,124,123,0
081301,78,68,76,0,146,146,147,0
081302,78,68,76,0,146,146,141,0
081303,78,68,76,0,146,146,147,0
081305,78,68,76,0,146,146,145,0
081306,78,68,76,0,146,146,145,0
081307,78,68,76,0,146,146,144,0
081309,78,68,76,0,146,146,148,0
081311,78,68,76,0,146,146,148,0
081312,78,68,76,0,146,146,144,0
091301,66,61,83,0,127,127,127,0
091302,66,61,83,0,127,127,124,0
091303,66,61,83,0,127,127,126,0
091305,66,61,83,0,127,127,126,0
091306,66,61,83,0,127,127,126,0
091307,66,61,83,0,127,127,126,0
091308,66,61,83,0,127,127,125,0
091311,66,61,83,0,127,127,127,0
091312,66,61,83,0,127,127,124,0
111301,78,64,50,0,142,142,141,0
111302,78,64,50,0,142,142,138,0
111303,78,64,50,0,142,142,141,0
111305,78,64,50,0,142,142,139,0
111306,78,64,50,0,142,142,140,0
111307,78,64,50,0,142,142,142,0
111308,78,64,50,0,142,142,137,0
111309,78,64,50,0,142,142,140,0
111312,78,64,50,0,142,142,138,0
121301,63,70,88,0,133,133,131,0
121302,63,70,88,0,133,133,129,0
121303,63,70,88,0,133,133,133,0
121305,63,70,88,0,133,133,130,0
121306,63,70,88,0,133,133,132,0
121307,63,70,88,0,133,133,132,0
121308,63,70,88,0,133,133,129,0
121309,63,70,88,0,133,133,132,0
121311,63,70,88,0,133,133,131,0
