,E1,E2,C1,A1
001201,81.5168,79.4502,81.3903,81.1995
001202,81.7029,80.0056,80.8305,81.941
001203,82.0098,78.8548,81.2264,81.0971
001205,82.6054,78.2311,80.9372,81.069
001206,82.1335,78.3608,81.1845,80.7268
001208,82.2812,78.2717,81.1039,80.7854
001209,83.2894,80.2112,81.0631,83.7331
001211,82.5246,79.2943,80.8123,82.0514
011200,79.4255,82.96,80.9424,82.0305
011202,80.6886,83.1647,80.6622,83.4983
011203,81.1707,81.9952,81.0203,82.8109
011205,81.6287,81.5576,81.0879,82.8314
011206,81.0254,82.2346,80.7739,82.905
011208,81.1308,81.0121,80.5712,81.788
011209,81.0109,83.3323,81.1202,83.9882
011211,81.7568,80.7419,80.8051,82.1438
021200,80.5504,78.8408,77.1075,82.9637
021201,81.7184,77.8441,77.1075,83.135
021203,81.6455,76.856,77.0946,82.074
021205,80.795,76.6894,77.3082,81.0568
021206,81.5213,77.8364,77.2567,82.9301
021208,81.5985,76.3211,77.0381,81.4921
021209,81.7853,78.0656,77.1589,83.4234
021211,81.4532,76.2629,77.0946,81.2887
031200,78.314,81.6996,79.4219,81.5282
031201,80.0543,81.3959,79.4578,82.9648
031202,79.6685,81.9232,79.7601,83.1063
031205,81.0179,80.9587,80.3324,83.4911
031206,79.5861,81.7196,79.7408,82.8203
031208,80.3357,81.1595,79.3093,83.0098
031209,81.1777,81.6596,80.4488,84.3519
031211,81.0136,80.8365,79.4836,83.3647
051200,78.7012,79.2777,77.6915,81.0712
051201,80.2926,79.2113,78.1202,82.5963
051202,78.291,79.4988,77.3905,80.8822
051203,79.6984,79.4882,78.2732,82.2789
051206,78.853,79.2212,77.6321,81.1665
051208,76.489,78.7357,77.1327,78.317
051209,79.8775,79.9988,78.0111,82.9686
051211,78.6888,78.9336,77.0441,80.7147
061200,81.1459,77.3187,80.1804,81.4803
061201,82.873,77.0423,79.8846,82.931
061202,82.3489,78.2572,79.4719,83.6218
061203,82.1945,76.968,79.7494,82.1782
061205,82.7542,77.1024,80.6788,82.8723
061208,80.9466,76.0653,79.0055,80.0276
061209,82.2674,77.3017,79.4238,82.5848
061211,82.3387,76.1545,79.4768,81.5088
081200,78.2461,77.2487,73.682,82.9434
081201,79.5669,76.7664,73.8323,83.782
081202,78.8722,77.2552,73.4642,83.576
081203,78.827,76.886,73.2604,83.1617
081205,77.7017,75.8124,73.8704,80.9628
081206,77.351,75.9955,73.2947,80.7952
081209,78.3166,76.6042,73.5056,82.3694
081211,77.8981,75.0054,73.3405,80.3522
091200,81.0234,80.2428,81.8377,80.7488
091201,81.4695,79.8931,82.5027,80.8451
091202,80.8799,80.4398,82.0571,80.8023
091203,82.0836,79.3089,82.46,80.875
091205,81.6167,79.1196,81.6148,80.2189
091206,81.9883,79.707,81.9452,81.1778
091208,80.0543,78.2399,81.2979,77.7768
091211,82.5093,78.9134,81.6474,80.9052
111200,79.021,77.6277,76.7488,80.4304
111201,79.8522,77.451,76.8508,81.0849
111202,78.4307,78.1342,76.8046,80.3466
111203,79.8998,77.1806,77.1659,80.8621
111205,78.2684,76.906,76.9185,78.9561
111206,78.361,75.6398,76.8701,77.7825
111208,77.1547,75.729,76.9185,76.6654
111209,79.8002,78.2239,76.9185,81.8058
