,E1,E2,C1,C2,A1,A2,A3,OR
021305,84.5433,82.2014,86.1827,81.2646,87.3536,87.3536,87.5878,80.7963
021306,84.5433,83.1382,85.9485,81.2646,88.2904,88.2904,88.0562,80.7963
021308,85.0117,81.733,85.0117,81.2646,87.3536,87.3536,87.822,80.7963
021311,84.5433,82.4356,85.4801,81.2646,87.5878,87.5878,87.5878,80.7963
051302,84.0749,81.9672,85.2459,80.5621,87.3536,87.3536,87.5878,80.5621
051306,83.3724,82.904,84.3091,80.5621,87.5878,87.5878,87.5878,80.5621
051308,82.2014,81.9672,83.8407,80.5621,85.4801,85.4801,85.4801,80.5621
051311,82.4356,81.9672,83.6066,80.5621,85.7143,85.7143,85.9485,80.5621
061302,86.6511,80.7963,88.0562,81.733,88.2904,88.2904,88.0562,78.4543
061305,85.9485,80.7963,86.4169,81.733,87.5878,87.5878,87.5878,78.4543
061308,85.9485,80.3279,86.1827,81.733,87.1194,87.1194,87.3536,78.4543
061311,85.9485,81.0304,86.8852,81.733,87.822,87.822,88.0562,78.4543
081302,85.9485,81.2646,84.3091,80.0937,87.3536,87.3536,87.822,80.3279
081305,83.6066,81.733,82.4356,80.0937,85.4801,85.4801,85.4801,80.3279
081306,84.7775,82.2014,84.0749,80.0937,87.1194,87.1194,87.3536,80.3279
081311,84.3091,81.4988,82.904,80.0937,85.9485,85.9485,85.7143,80.3279
111302,85.4801,81.0304,83.6066,81.0304,87.5878,87.5878,87.5878,79.3911
111305,83.8407,80.7963,82.2014,81.0304,85.7143,85.7143,85.9485,79.3911
111306,84.7775,81.9672,82.904,81.0304,87.822,87.822,88.0562,79.3911
111308,84.3091,80.5621,82.6698,81.0304,85.9485,85.9485,85.7143,79.3911
