,E1,E2,C1,C2,A1,A2,A3,OR
021305,189,238,427,427,427,427,427,238
021306,189,238,427,427,427,427,427,238
021308,189,238,427,427,427,427,427,238
021311,189,238,427,427,427,427,427,238
051302,176,251,427,427,427,427,427,251
051306,176,251,427,427,427,427,427,251
051308,176,251,427,427,427,427,427,251
051311,176,251,427,427,427,427,427,251
061302,212,215,427,427,427,427,427,215
061305,212,215,427,427,427,427,427,215
061308,212,215,427,427,427,427,427,215
061311,212,215,427,427,427,427,427,215
081302,195,232,427,427,427,427,427,232
081305,195,232,427,427,427,427,427,232
081306,195,232,427,427,427,427,427,232
081311,195,232,427,427,427,427,427,232
111302,199,228,427,427,427,427,427,228
111305,199,228,427,427,427,427,427,228
111306,199,228,427,427,427,427,427,228
111308,199,228,427,427,427,427,427,228
