,E1,E2,C1,A1
021205,81.3161,77.082,77.8238,81.4149
021206,82.1325,78.1478,77.7963,83.297
021208,82.4233,76.763,77.5493,82.2031
021211,82.0551,76.6586,77.6149,81.7305
051202,78.8216,79.7272,77.8428,81.2188
051206,79.4077,79.4465,78.0454,81.5241
051208,77.088,79.1855,77.5963,78.9434
051211,79.3407,79.1691,77.5421,81.1797
061202,82.6989,78.6597,79.6608,83.8673
061205,83.0904,77.4867,80.9161,83.0859
061208,81.436,76.6009,79.2441,80.5457
061211,82.7264,76.6116,79.7288,81.8468
081202,80.3026,78.2871,75.3386,84.0929
081205,79.0671,76.9339,75.6841,81.5043
081206,78.7531,77.0683,75.1401,81.3246
081211,79.3348,76.0678,75.1901,80.9057
111202,79.0503,78.5194,77.3199,80.7844
111205,78.8238,77.3119,77.3964,79.3504
111206,78.9426,75.9246,77.3326,78.0818
111208,77.7556,76.0608,77.3964,77.0311
