,E1,E2,C1,C2,A1,A2,A3,OR
021305,73.2984,83.2461,78.534,75.3927,80.1047,80.1047,80.1047,95.288
021306,75.3927,86.911,80.6283,75.3927,85.8639,85.8639,85.3403,95.288
021308,76.4398,81.6754,77.4869,75.3927,81.6754,81.6754,82.199,95.288
021311,75.9162,83.7696,79.0576,75.3927,83.2461,83.2461,82.7225,95.288
051302,71.7277,80.6283,76.9634,70.6806,80.1047,80.1047,80.1047,92.6702
051306,71.7277,84.8168,78.534,70.6806,84.2932,84.2932,84.2932,92.6702
051308,72.2513,80.1047,77.4869,70.6806,80.1047,80.1047,80.1047,92.6702
051311,71.7277,81.1518,76.4398,70.6806,80.6283,80.6283,80.6283,92.6702
061302,81.1518,86.911,85.3403,77.4869,85.8639,85.8639,85.3403,95.288
061305,79.0576,87.4346,83.2461,77.4869,84.2932,84.2932,84.2932,95.288
061308,82.199,84.8168,84.2932,77.4869,84.8168,84.8168,85.3403,95.288
061311,81.1518,86.3874,84.2932,77.4869,85.3403,85.3403,85.3403,95.288
081302,76.9634,83.2461,75.9162,75.3927,81.6754,81.6754,82.199,96.8586
081305,74.3455,84.2932,74.8691,75.3927,80.1047,80.1047,80.1047,96.8586
081306,76.9634,86.3874,78.534,75.3927,84.8168,84.8168,85.3403,96.8586
081311,76.9634,83.2461,74.8691,75.3927,81.6754,81.6754,81.1518,96.8586
111302,77.4869,84.2932,79.0576,76.9634,83.2461,83.2461,82.7225,95.8115
111305,74.8691,84.2932,76.9634,76.9634,80.6283,80.6283,80.6283,95.8115
111306,76.9634,86.911,79.0576,76.9634,85.3403,85.3403,85.3403,95.8115
111308,78.0105,82.199,78.0105,76.9634,81.6754,81.6754,81.1518,95.8115
