,E1,E2,C1,C2,A1,A2,A3,OR
021305,93.6441,81.3559,92.3729,86.0169,93.2203,93.2203,93.6441,69.0678
021306,91.9492,80.0847,90.2542,86.0169,90.2542,90.2542,90.2542,69.0678
021308,91.9492,81.7797,91.1017,86.0169,91.9492,91.9492,92.3729,69.0678
021311,91.5254,81.3559,90.678,86.0169,91.1017,91.1017,91.5254,69.0678
051302,94.0678,83.0508,91.9492,88.5593,93.2203,93.2203,93.6441,70.7627
051306,92.7966,81.3559,88.9831,88.5593,90.2542,90.2542,90.2542,70.7627
051308,90.2542,83.4746,88.9831,88.5593,89.8305,89.8305,89.8305,70.7627
051311,91.1017,82.6271,89.4068,88.5593,89.8305,89.8305,90.2542,70.7627
061302,91.1017,75.8475,90.2542,85.1695,90.2542,90.2542,90.2542,64.8305
061305,91.5254,75.4237,88.9831,85.1695,90.2542,90.2542,90.2542,64.8305
061308,88.9831,76.6949,87.7119,85.1695,88.9831,88.9831,88.9831,64.8305
061311,89.8305,76.6949,88.9831,85.1695,89.8305,89.8305,90.2542,64.8305
081302,93.2203,79.661,91.1017,83.8983,91.9492,91.9492,92.3729,66.9492
081305,91.1017,79.661,88.5593,83.8983,89.8305,89.8305,89.8305,66.9492
081306,91.1017,78.8136,88.5593,83.8983,88.9831,88.9831,88.9831,66.9492
081311,90.2542,80.0847,89.4068,83.8983,89.4068,89.4068,89.4068,66.9492
111302,91.9492,78.3898,87.2881,84.322,91.1017,91.1017,91.5254,66.1017
111305,91.1017,77.9661,86.4407,84.322,89.8305,89.8305,90.2542,66.1017
111306,91.1017,77.9661,86.0169,84.322,89.8305,89.8305,90.2542,66.1017
111308,89.4068,79.2373,86.4407,84.322,89.4068,89.4068,89.4068,66.1017
