,E1,E2,C1,C2,A1,A2,A3,OR
011303,82.904,85.4801,85.4801,83.6066,87.1194,87.1194,87.1194,83.3724
011307,82.904,86.1827,85.9485,83.6066,87.822,87.822,87.822,83.3724
011309,82.904,85.2459,85.7143,83.6066,86.8852,86.8852,87.1194,83.3724
011312,83.6066,85.0117,85.4801,83.6066,87.3536,87.3536,87.822,83.3724
031301,84.7775,83.8407,86.1827,82.2014,87.1194,87.1194,87.1194,81.733
031307,85.4801,84.3091,86.4169,82.2014,88.2904,88.2904,88.2904,81.733
031309,84.7775,83.8407,85.9485,82.2014,87.1194,87.1194,86.8852,81.733
031312,84.5433,84.5433,86.1827,82.2014,87.5878,87.5878,87.5878,81.733
071301,86.4169,85.4801,89.2272,85.7143,87.822,87.822,87.822,82.6698
071303,87.1194,85.2459,88.5246,85.7143,88.2904,88.2904,88.2904,82.6698
071309,87.1194,85.9485,88.993,85.7143,88.993,88.993,88.7588,82.6698
071312,88.5246,85.9485,90.8665,85.7143,90.3981,90.3981,90.6323,82.6698
091301,85.2459,83.6066,85.7143,82.6698,86.8852,86.8852,87.1194,81.733
091303,85.2459,83.8407,85.9485,82.6698,87.1194,87.1194,86.8852,81.733
091307,85.9485,85.0117,87.5878,82.6698,88.993,88.993,88.7588,81.733
091312,87.1194,84.7775,88.2904,82.6698,89.9297,89.9297,89.6956,81.733
121301,84.7775,85.4801,87.1194,84.7775,87.3536,87.3536,87.822,83.8407
121303,83.8407,86.6511,87.822,84.7775,87.5878,87.5878,87.5878,83.8407
121307,86.1827,87.1194,89.4614,84.7775,90.3981,90.3981,90.6323,83.8407
121309,85.9485,86.8852,88.993,84.7775,89.9297,89.9297,89.6956,83.8407
