,E1,E2,C1,C2,A1,A2,A3,OR
011303,163,264,427,427,427,427,427,264
011307,163,264,427,427,427,427,427,264
011309,163,264,427,427,427,427,427,264
011312,163,264,427,427,427,427,427,264
031301,180,247,427,427,427,427,427,247
031307,180,247,427,427,427,427,427,247
031309,180,247,427,427,427,427,427,247
031312,180,247,427,427,427,427,427,247
071301,193,234,427,427,427,427,427,234
071303,193,234,427,427,427,427,427,234
071309,193,234,427,427,427,427,427,234
071312,193,234,427,427,427,427,427,234
091301,190,237,427,427,427,427,427,237
091303,190,237,427,427,427,427,427,237
091307,190,237,427,427,427,427,427,237
091312,190,237,427,427,427,427,427,237
121301,178,249,427,427,427,427,427,249
121303,178,249,427,427,427,427,427,249
121307,178,249,427,427,427,427,427,249
121309,178,249,427,427,427,427,427,249
