,E1,E2,C1,C2,A1,A2,A3,OR
011303,69.6335,82.199,77.4869,75.3927,80.1047,80.1047,80.1047,93.7173
011307,71.2042,83.7696,79.5812,75.3927,83.2461,83.2461,83.2461,93.7173
011309,70.6806,82.199,78.0105,75.3927,81.1518,81.1518,81.1518,93.7173
011312,71.2042,80.1047,76.4398,75.3927,79.5812,79.5812,80.6283,93.7173
031301,74.3455,82.199,80.1047,74.3455,80.1047,80.1047,80.1047,93.7173
031307,75.9162,84.2932,80.6283,74.3455,83.7696,83.7696,83.7696,93.7173
031309,75.3927,83.7696,80.6283,74.3455,82.7225,82.7225,82.199,93.7173
031312,75.9162,83.7696,81.6754,74.3455,83.2461,83.2461,83.2461,93.7173
071301,79.5812,86.3874,83.2461,79.5812,83.2461,83.2461,83.2461,96.3351
071303,79.5812,86.911,82.199,79.5812,83.7696,83.7696,83.7696,96.3351
071309,80.6283,87.9581,84.2932,79.5812,85.8639,85.8639,85.3403,96.3351
071312,82.199,87.4346,86.911,79.5812,86.911,86.911,86.911,96.3351
091301,76.9634,83.7696,79.5812,77.4869,81.1518,81.1518,81.1518,95.288
091303,76.9634,85.3403,80.6283,77.4869,82.7225,82.7225,82.199,95.288
091307,78.534,86.911,83.2461,77.4869,85.8639,85.8639,85.3403,95.288
091312,79.0576,86.3874,83.7696,77.4869,85.8639,85.8639,85.3403,95.288
121301,73.822,83.2461,76.4398,76.9634,79.5812,79.5812,80.6283,96.8586
121303,73.822,86.911,80.1047,76.9634,83.2461,83.2461,83.2461,96.8586
121307,76.4398,87.9581,82.199,76.9634,86.911,86.911,86.911,96.8586
121309,75.3927,87.9581,81.1518,76.9634,85.8639,85.8639,85.3403,96.8586
