,E1,E2,C1,C2,A1,A2,A3,OR
011303,93.6441,88.1356,91.9492,90.2542,92.7966,92.7966,92.7966,75.0
011307,92.3729,88.1356,91.1017,90.2542,91.5254,91.5254,91.5254,75.0
011309,92.7966,87.7119,91.9492,90.2542,91.5254,91.5254,91.9492,75.0
011312,93.6441,88.9831,92.7966,90.2542,93.6441,93.6441,93.6441,75.0
031301,93.2203,85.1695,91.1017,88.5593,92.7966,92.7966,92.7966,72.0339
031307,93.2203,84.322,91.1017,88.5593,91.9492,91.9492,91.9492,72.0339
031309,92.3729,83.8983,90.2542,88.5593,90.678,90.678,90.678,72.0339
031312,91.5254,85.1695,89.8305,88.5593,91.1017,91.1017,91.1017,72.0339
071301,91.9492,84.7458,94.0678,90.678,91.5254,91.5254,91.5254,71.6102
071303,93.2203,83.8983,93.6441,90.678,91.9492,91.9492,91.9492,71.6102
071309,92.3729,84.322,92.7966,90.678,91.5254,91.5254,91.5254,71.6102
071312,93.6441,84.7458,94.0678,90.678,93.2203,93.2203,93.6441,71.6102
091301,91.9492,83.4746,90.678,86.8644,91.5254,91.5254,91.9492,70.7627
091303,91.9492,82.6271,90.2542,86.8644,90.678,90.678,90.678,70.7627
091307,91.9492,83.4746,91.1017,86.8644,91.5254,91.5254,91.5254,70.7627
091312,93.6441,83.4746,91.9492,86.8644,93.2203,93.2203,93.2203,70.7627
121301,93.6441,87.2881,95.7627,91.1017,93.6441,93.6441,93.6441,73.3051
121303,91.9492,86.4407,94.0678,91.1017,91.1017,91.1017,91.1017,73.3051
121307,94.0678,86.4407,95.339,91.1017,93.2203,93.2203,93.6441,73.3051
121309,94.4915,86.0169,95.339,91.1017,93.2203,93.2203,93.2203,73.3051
