,E1,E2,C1,C2,A1,A2,A3,OR
011302,70.6806,80.1047,76.4398,75.3927,79.0576,79.0576,79.5812,93.7173
011303,69.6335,82.199,77.4869,75.3927,80.1047,80.1047,80.1047,93.7173
011305,68.5864,80.6283,74.8691,75.3927,77.4869,77.4869,77.4869,93.7173
011306,70.1571,84.8168,80.1047,75.3927,83.2461,83.2461,83.7696,93.7173
011307,71.2042,83.7696,79.5812,75.3927,83.2461,83.2461,83.2461,93.7173
011308,71.2042,80.6283,76.9634,75.3927,80.1047,80.1047,80.6283,93.7173
011309,70.6806,82.199,78.0105,75.3927,81.1518,81.1518,81.1518,93.7173
011311,71.7277,81.1518,78.0105,75.3927,81.1518,81.1518,81.1518,93.7173
011312,71.2042,80.1047,76.4398,75.3927,79.5812,79.5812,80.6283,93.7173
021301,73.822,81.6754,76.4398,75.3927,79.0576,79.0576,79.5812,95.288
021303,74.3455,83.7696,78.534,75.3927,81.6754,81.6754,81.6754,95.288
021305,73.2984,83.2461,78.534,75.3927,80.1047,80.1047,80.1047,95.288
021306,75.3927,86.911,80.6283,75.3927,85.8639,85.8639,85.3403,95.288
021307,75.9162,84.8168,80.1047,75.3927,84.2932,84.2932,83.7696,95.288
021308,76.4398,81.6754,77.4869,75.3927,81.6754,81.6754,82.199,95.288
021309,75.3927,84.8168,79.5812,75.3927,83.7696,83.7696,83.7696,95.288
021311,75.9162,83.7696,79.0576,75.3927,83.2461,83.2461,82.7225,95.288
021312,76.4398,83.2461,80.1047,75.3927,83.2461,83.2461,83.7696,95.288
031301,74.3455,82.199,80.1047,74.3455,80.1047,80.1047,80.1047,93.7173
031302,75.9162,82.199,79.5812,74.3455,81.6754,81.6754,81.6754,93.7173
031305,73.2984,83.2461,79.0576,74.3455,80.1047,80.1047,80.1047,93.7173
031306,74.8691,85.8639,80.6283,74.3455,84.2932,84.2932,84.2932,93.7173
031307,75.9162,84.2932,80.6283,74.3455,83.7696,83.7696,83.7696,93.7173
031308,75.9162,82.199,80.1047,74.3455,81.6754,81.6754,81.6754,93.7173
031309,75.3927,83.7696,80.6283,74.3455,82.7225,82.7225,82.199,93.7173
031311,76.4398,82.199,78.534,74.3455,82.199,82.199,82.199,93.7173
031312,75.9162,83.7696,81.6754,74.3455,83.2461,83.2461,83.2461,93.7173
051301,70.1571,79.5812,73.822,70.6806,77.4869,77.4869,77.4869,92.6702
051302,71.7277,80.6283,76.9634,70.6806,80.1047,80.1047,80.1047,92.6702
051303,70.1571,82.199,77.4869,70.6806,80.1047,80.1047,80.1047,92.6702
051306,71.7277,84.8168,78.534,70.6806,84.2932,84.2932,84.2932,92.6702
051307,71.7277,82.7225,77.4869,70.6806,82.199,82.199,82.7225,92.6702
051308,72.2513,80.1047,77.4869,70.6806,80.1047,80.1047,80.1047,92.6702
051309,71.7277,80.6283,75.3927,70.6806,80.1047,80.1047,80.1047,92.6702
051311,71.7277,81.1518,76.4398,70.6806,80.6283,80.6283,80.6283,92.6702
051312,72.2513,82.199,76.9634,70.6806,82.199,82.199,82.199,92.6702
061301,79.0576,86.3874,82.199,77.4869,83.2461,83.2461,83.7696,95.288
061302,81.1518,86.911,85.3403,77.4869,85.8639,85.8639,85.3403,95.288
061303,79.0576,87.4346,83.7696,77.4869,84.2932,84.2932,84.2932,95.288
061305,79.0576,87.4346,83.2461,77.4869,84.2932,84.2932,84.2932,95.288
061307,81.6754,87.4346,85.8639,77.4869,86.911,86.911,86.3874,95.288
061308,82.199,84.8168,84.2932,77.4869,84.8168,84.8168,85.3403,95.288
061309,80.6283,87.9581,85.3403,77.4869,86.3874,86.3874,86.3874,95.288
061311,81.1518,86.3874,84.2932,77.4869,85.3403,85.3403,85.3403,95.288
061312,82.199,85.8639,85.3403,77.4869,85.8639,85.8639,86.3874,95.288
071301,79.5812,86.3874,83.2461,79.5812,83.2461,83.2461,83.2461,96.3351
071302,81.1518,85.8639,83.7696,79.5812,84.2932,84.2932,83.7696,96.3351
071303,79.5812,86.911,82.199,79.5812,83.7696,83.7696,83.7696,96.3351
071305,78.534,86.3874,82.199,79.5812,82.199,82.199,82.7225,96.3351
071306,81.1518,88.4817,85.8639,79.5812,86.911,86.911,86.3874,96.3351
071308,82.199,85.3403,84.2932,79.5812,84.8168,84.8168,84.2932,96.3351
071309,80.6283,87.9581,84.2932,79.5812,85.8639,85.8639,85.3403,96.3351
071311,81.6754,85.3403,83.7696,79.5812,84.2932,84.2932,84.2932,96.3351
071312,82.199,87.4346,86.911,79.5812,86.911,86.911,86.911,96.3351
081301,74.8691,83.7696,75.9162,75.3927,80.1047,80.1047,80.6283,96.8586
081302,76.9634,83.2461,75.9162,75.3927,81.6754,81.6754,82.199,96.8586
081303,74.8691,85.3403,74.8691,75.3927,81.6754,81.6754,81.6754,96.8586
081305,74.3455,84.2932,74.8691,75.3927,80.1047,80.1047,80.1047,96.8586
081306,76.9634,86.3874,78.534,75.3927,84.8168,84.8168,85.3403,96.8586
081307,77.4869,85.8639,78.534,75.3927,84.8168,84.8168,84.2932,96.8586
081309,76.9634,85.8639,78.0105,75.3927,84.2932,84.2932,84.2932,96.8586
081311,76.9634,83.2461,74.8691,75.3927,81.6754,81.6754,81.1518,96.8586
081312,78.0105,85.3403,78.534,75.3927,84.8168,84.8168,85.3403,96.8586
091301,76.9634,83.7696,79.5812,77.4869,81.1518,81.1518,81.1518,95.288
091302,78.534,84.8168,81.6754,77.4869,83.7696,83.7696,83.7696,95.288
091303,76.9634,85.3403,80.6283,77.4869,82.7225,82.7225,82.199,95.288
091305,76.4398,83.2461,79.5812,77.4869,80.1047,80.1047,80.1047,95.288
