,E1,E2,C1,C2,A1,A2,A3,OR
011302,94.0678,87.7119,93.2203,90.2542,92.7966,92.7966,92.7966,75.0
011303,93.6441,88.1356,91.9492,90.2542,92.7966,92.7966,92.7966,75.0
011305,95.339,87.7119,93.6441,90.2542,94.0678,94.0678,94.0678,75.0
011306,95.339,86.8644,93.2203,90.2542,93.2203,93.2203,93.6441,75.0
011307,92.3729,88.1356,91.1017,90.2542,91.5254,91.5254,91.5254,75.0
011308,94.4915,88.5593,93.2203,90.2542,94.0678,94.0678,94.0678,75.0
011309,92.7966,87.7119,91.9492,90.2542,91.5254,91.5254,91.9492,75.0
011311,93.6441,88.1356,92.3729,90.2542,92.7966,92.7966,93.2203,75.0
011312,93.6441,88.9831,92.7966,90.2542,93.6441,93.6441,93.6441,75.0
021301,92.7966,81.7797,91.5254,86.0169,92.7966,92.7966,92.7966,69.0678
021303,91.1017,80.9322,88.9831,86.0169,90.2542,90.2542,90.678,69.0678
021305,93.6441,81.3559,92.3729,86.0169,93.2203,93.2203,93.6441,69.0678
021306,91.9492,80.0847,90.2542,86.0169,90.2542,90.2542,90.2542,69.0678
021307,91.5254,81.3559,90.2542,86.0169,91.1017,91.1017,91.1017,69.0678
021308,91.9492,81.7797,91.1017,86.0169,91.9492,91.9492,92.3729,69.0678
021309,92.3729,81.3559,91.1017,86.0169,91.9492,91.9492,91.9492,69.0678
021311,91.5254,81.3559,90.678,86.0169,91.1017,91.1017,91.5254,69.0678
021312,93.6441,81.7797,91.9492,86.0169,93.6441,93.6441,93.6441,69.0678
031301,93.2203,85.1695,91.1017,88.5593,92.7966,92.7966,92.7966,72.0339
031302,91.9492,83.8983,90.678,88.5593,90.2542,90.2542,90.678,72.0339
031305,93.2203,83.8983,90.678,88.5593,91.5254,91.5254,91.5254,72.0339
031306,91.1017,83.0508,89.8305,88.5593,88.5593,88.5593,88.5593,72.0339
031307,93.2203,84.322,91.1017,88.5593,91.9492,91.9492,91.9492,72.0339
031308,90.2542,84.7458,88.5593,88.5593,89.4068,89.4068,89.4068,72.0339
031309,92.3729,83.8983,90.2542,88.5593,90.678,90.678,90.678,72.0339
031311,89.8305,84.322,88.5593,88.5593,88.5593,88.5593,88.5593,72.0339
031312,91.5254,85.1695,89.8305,88.5593,91.1017,91.1017,91.1017,72.0339
051301,94.4915,83.4746,91.9492,88.5593,94.0678,94.0678,94.0678,70.7627
051302,94.0678,83.0508,91.9492,88.5593,93.2203,93.2203,93.6441,70.7627
051303,92.7966,82.6271,89.8305,88.5593,91.5254,91.5254,91.5254,70.7627
051306,92.7966,81.3559,88.9831,88.5593,90.2542,90.2542,90.2542,70.7627
051307,94.0678,83.4746,91.9492,88.5593,93.6441,93.6441,93.6441,70.7627
051308,90.2542,83.4746,88.9831,88.5593,89.8305,89.8305,89.8305,70.7627
051309,93.2203,83.0508,90.678,88.5593,92.3729,92.3729,92.3729,70.7627
051311,91.1017,82.6271,89.4068,88.5593,89.8305,89.8305,90.2542,70.7627
051312,92.3729,83.4746,90.2542,88.5593,91.9492,91.9492,91.9492,70.7627
061301,93.2203,76.6949,91.5254,85.1695,93.2203,93.2203,93.6441,64.8305
061302,91.1017,75.8475,90.2542,85.1695,90.2542,90.2542,90.2542,64.8305
061303,89.4068,75.8475,88.9831,85.1695,88.5593,88.5593,88.5593,64.8305
061305,91.5254,75.4237,88.9831,85.1695,90.2542,90.2542,90.2542,64.8305
061307,91.9492,76.2712,90.678,85.1695,91.5254,91.5254,91.9492,64.8305
061308,88.9831,76.6949,87.7119,85.1695,88.9831,88.9831,88.9831,64.8305
061309,90.2542,75.8475,89.4068,85.1695,89.4068,89.4068,89.8305,64.8305
061311,89.8305,76.6949,88.9831,85.1695,89.8305,89.8305,90.2542,64.8305
061312,90.678,76.6949,88.9831,85.1695,90.678,90.678,90.678,64.8305
071301,91.9492,84.7458,94.0678,90.678,91.5254,91.5254,91.5254,71.6102
071302,92.3729,83.8983,94.0678,90.678,91.1017,91.1017,91.1017,71.6102
071303,93.2203,83.8983,93.6441,90.678,91.9492,91.9492,91.9492,71.6102
071305,94.4915,84.322,93.2203,90.678,93.6441,93.6441,93.6441,71.6102
071306,93.6441,83.0508,92.7966,90.678,91.5254,91.5254,91.9492,71.6102
071308,93.6441,85.1695,94.0678,90.678,93.6441,93.6441,94.0678,71.6102
071309,92.3729,84.322,92.7966,90.678,91.5254,91.5254,91.5254,71.6102
071311,91.5254,84.322,92.7966,90.678,90.678,90.678,90.678,71.6102
071312,93.6441,84.7458,94.0678,90.678,93.2203,93.2203,93.6441,71.6102
081301,94.4915,80.5085,91.5254,83.8983,94.0678,94.0678,94.0678,66.9492
081302,93.2203,79.661,91.1017,83.8983,91.9492,91.9492,92.3729,66.9492
081303,90.678,79.661,89.4068,83.8983,89.4068,89.4068,89.4068,66.9492
081305,91.1017,79.661,88.5593,83.8983,89.8305,89.8305,89.8305,66.9492
081306,91.1017,78.8136,88.5593,83.8983,88.9831,88.9831,88.9831,66.9492
081307,94.0678,80.5085,91.5254,83.8983,93.6441,93.6441,94.0678,66.9492
081309,92.7966,80.0847,89.8305,83.8983,91.9492,91.9492,91.9492,66.9492
081311,90.2542,80.0847,89.4068,83.8983,89.4068,89.4068,89.4068,66.9492
081312,91.5254,80.5085,90.678,83.8983,91.1017,91.1017,91.5254,66.9492
091301,91.9492,83.4746,90.678,86.8644,91.5254,91.5254,91.9492,70.7627
091302,92.7966,83.0508,91.1017,86.8644,91.9492,91.9492,91.9492,70.7627
091303,91.9492,82.6271,90.2542,86.8644,90.678,90.678,90.678,70.7627
091305,93.2203,83.0508,91.9492,86.8644,92.3729,92.3729,92.3729,70.7627
091306,91.5254,81.7797,89.8305,86.8644,89.4068,89.4068,89.8305,70.7627
091307,91.9492,83.4746,91.1017,86.8644,91.5254,91.5254,91.5254,70.7627
091308,91.9492,83.8983,91.1017,86.8644,91.9492,91.9492,91.9492,70.7627
091311,91.5254,83.0508,89.8305,86.8644,90.678,90.678,91.1017,70.7627
091312,93.6441,83.4746,91.9492,86.8644,93.2203,93.2203,93.2203,70.7627
111301,92.7966,79.2373,88.1356,84.322,92.7966,92.7966,93.2203,66.1017
111302,91.9492,78.3898,87.2881,84.322,91.1017,91.1017,91.5254,66.1017
111303,89.4068,78.3898,85.5932,84.322,88.5593,88.5593,88.5593,66.1017
111305,91.1017,77.9661,86.4407,84.322,89.8305,89.8305,90.2542,66.1017
111306,91.1017,77.9661,86.0169,84.322,89.8305,89.8305,90.2542,66.1017
111307,91.1017,78.8136,86.4407,84.322,90.678,90.678,90.678,66.1017
111308,89.4068,79.2373,86.4407,84.322,89.4068,89.4068,89.4068,66.1017
111309,91.5254,78.3898,87.2881,84.322,90.678,90.678,91.1017,66.1017
111312,90.678,79.2373,87.7119,84.322,90.678,90.678,91.1017,66.1017
121301,93.6441,87.2881,95.7627,91.1017,93.6441,93.6441,93.6441,73.3051
121302,94.9153,86.0169,95.7627,91.1017,93.6441,93.6441,93.6441,73.3051
121303,91.9492,86.4407,94.0678,91.1017,91.1017,91.1017,91.1017,73.3051
121305,93.2203,86.0169,93.6441,91.1017,91.9492,91.9492,91.9492,73.3051
121306,92.7966,85.1695,92.7966,91.1017,90.678,90.678,90.678,73.3051
121307,94.0678,86.4407,95.339,91.1017,93.2203,93.2203,93.6441,73.3051
121308,91.5254,86.8644,93.6441,91.1017,91.1017,91.1017,91.5254,73.3051
121309,94.4915,86.0169,95.339,91.1017,93.2203,93.2203,93.2203,73.3051
121311,91.5254,86.4407,94.4915,91.1017,90.678,90.678,91.1017,73.3051
